,x,y,label
0,53.4911481,-2.6467533,A4.0
1,53.4999905,-2.6456118,A4.0
2,53.4903614,-2.647066,A4.0
3,53.4896687,-2.6505759,A4.0
4,53.4990519,-2.656413,A4.0
5,53.4963153,-2.6555118,A4.0
6,53.4990927,-2.6561212,A4.0
7,53.4877139,-2.6482536,A4.0
8,53.5004656,-2.6495001,A4.0
9,53.4879711,-2.6510935,A4.0
10,53.4879622,-2.6508747,A4.0
11,53.5034209,-2.6511708,A4.0
12,53.4877543,-2.6518511,A4.0
13,53.4876935,-2.6518822,A4.0
14,53.5003588,-2.6448044,A4.0
15,53.5008394,-2.6571625,A4.0
16,53.5004596,-2.6665741,A4.0
17,53.499181,-2.6553544,A4.0
18,53.4967544,-2.6522588,A4.0
19,53.495991,-2.6486149,A4.0
20,53.4963714,-2.6521386,A4.0
21,53.4893605,-2.6443161,A4.0
22,53.4893071,-2.6440944,A4.0
23,53.4969177,-2.6469201,A4.0
24,53.5031429,-2.6575993,A4.0
25,53.4895597,-2.6532802,A4.0
26,53.4994698,-2.6449251,A4.0
27,53.496767,-2.6527279,A4.0
28,53.4969126,-2.6528338,A4.0
29,53.4866185,-2.65063,A4.0
30,53.499965,-2.6454143,A4.0
31,53.4966573,-2.6528939,A4.0
32,53.5022309,-2.6571132,A4.0
33,53.5005886,-2.6560353,A4.0
34,53.5033574,-2.651334,A4.0
35,53.5023639,-2.6500946,A4.0
36,53.4881027,-2.6521639,A4.0
37,53.4881029,-2.6522681,A4.0
38,53.4970913,-2.6517953,A4.0
39,53.4916846,-2.6522968,A4.0
40,53.4964594,-2.6454766,A4.0
41,53.4959374,-2.6461476,A4.0
42,53.4997543,-2.6556317,A4.0
43,53.4996076,-2.6564521,A4.0
44,53.4865977,-2.6470245,A4.0
45,53.4995624,-2.6567048,A4.0
46,53.49606,-2.6479844,A4.0
47,53.4865724,-2.650312,A4.0
48,53.4891955,-2.6516805,A4.0
49,53.488531,-2.6519059,A4.0
50,53.4909895,-2.6520699,A4.0
51,53.4964684,-2.6509198,A4.0
52,53.4947682,-2.6505679,A4.0
53,53.48761,-2.6481186,A4.0
54,53.4969387,-2.6464003,A4.0
55,53.5001445,-2.6494092,A4.0
56,53.4962436,-2.6453776,A4.0
57,53.5000736,-2.6646287,A4.0
58,53.4881291,-2.6520526,A4.0
59,53.4891043,-2.6507908,A4.0
60,53.4990141,-2.6640427,A4.0
61,53.4960888,-2.6472896,A4.0
62,53.4876972,-2.6480935,A4.0
63,53.5015522,-2.6558936,A4.0
64,53.4947222,-2.6478557,A4.0
65,53.4976062,-2.6483789,A4.0
66,53.4851633,-2.6442836,A4.0
67,53.4852427,-2.6436373,A4.0
68,53.4923113,-2.6523775,A4.0
69,53.4937386,-2.6484392,A4.0
70,53.4851428,-2.646747,A4.0
71,53.4859542,-2.6466145,A4.0
72,53.4963816,-2.6448945,A4.0
73,53.4865415,-2.6436671,A4.0
74,53.492891,-2.6486792,A4.0
75,53.4993991,-2.6534604,A4.0
76,53.4968883,-2.6481936,A4.0
77,53.4894863,-2.6525254,A4.0
78,53.4952432,-2.654835,A4.0
79,53.4963357,-2.6501473,A4.0
80,53.5021698,-2.657457,A4.0
81,53.4955338,-2.6437996,A4.0
82,53.4954217,-2.6544904,A4.0
83,53.4962132,-2.6436332,A4.0
84,53.4937418,-2.6492976,A4.0
85,53.4928533,-2.6463708,A4.0
86,53.4914287,-2.6457786,A4.0
87,53.4893355,-2.6441804,A4.0
88,53.4898861,-2.6434373,A4.0
89,53.4908994,-2.6450026,A4.0
90,53.5008082,-2.6573399,A4.0
91,53.4915972,-2.6453494,A4.0
92,53.4947733,-2.6486539,A4.0
93,53.4968054,-2.6489972,A4.0
94,53.4986886,-2.6449251,A4.0
95,53.5016403,-2.6480874,A4.0
96,53.4888856,-2.6449505,A4.0
97,53.4981628,-2.6446934,A4.0
98,53.4984373,-2.6437968,A4.0
99,53.4923409,-2.6490156,A4.0
100,53.4874487,-2.6471997,A4.0
101,53.4992861,-2.654442,A4.0
102,53.5000577,-2.6547307,A4.0
103,53.4907546,-2.646345,A4.0
104,53.4957808,-2.6534884,A4.0
105,53.4911194,-2.6446212,A4.0
106,53.4881819,-2.6466459,A4.0
107,53.495146,-2.6550225,A4.0
108,53.4951493,-2.6487519,A4.0
109,53.5031309,-2.655913,A4.0
110,53.4904602,-2.644292,A4.0
111,53.4899592,-2.643572,A4.0
112,53.5032025,-2.6531365,A4.0
113,53.4974086,-2.6557516,A4.0
114,53.4941774,-2.6494481,A4.0
115,53.4923223,-2.6525849,A4.0
116,53.4928687,-2.6525935,A4.0
117,53.4879468,-2.6509945,A4.0
118,53.4891721,-2.6507983,A4.0
119,53.4891457,-2.6509712,A4.0
120,53.4965857,-2.644569,A4.0
121,53.4951837,-2.6483856,A4.0
122,53.4960497,-2.6463708,A4.0
123,53.4922886,-2.65024,A4.0
124,53.4942933,-2.6466969,A4.0
125,53.4970811,-2.6538981,A4.0
126,53.4910508,-2.6491174,A4.0
127,53.5034972,-2.6525408,A4.0
128,53.497995,-2.6467399,A4.0
129,53.5030783,-2.6574097,A4.0
130,53.4878801,-2.6490374,A4.0
131,53.4875417,-2.6471753,A4.0
132,53.503412,-2.6570573,A4.0
133,53.5008689,-2.6436975,A4.0
134,53.5009761,-2.6563089,A4.0
135,53.5012217,-2.6581811,A4.0
136,53.5015188,-2.6566921,A4.0
137,53.4968974,-2.6556395,A4.0
138,53.4929515,-2.6494433,A4.0
139,53.4986996,-2.6551341,A4.0
140,53.49751,-2.6547393,A4.0
141,53.4992798,-2.6544967,A4.0
142,53.4877801,-2.6510237,A4.0
143,53.4858884,-2.644712,A4.0
144,53.4865761,-2.644973,A4.0
145,53.4864939,-2.6450056,A4.0
146,53.4875703,-2.6473878,A4.0
147,53.4878605,-2.6488595,A4.0
148,53.492475,-2.6535673,A4.0
149,53.4858719,-2.6444655,A4.0
150,53.4876038,-2.6440019,A4.0
151,53.4997794,-2.649285,A4.0
152,53.5011604,-2.6618976,A4.0
153,53.4950553,-2.6497514,A4.0
154,53.499491,-2.6637172,A4.0
155,53.489335,-2.6534432,A4.0
156,53.4903767,-2.6542243,A4.0
157,53.4978207,-2.6449509,A4.0
158,53.4988061,-2.6443586,A4.0
159,53.4856408,-2.645316,A4.0
160,53.4991685,-2.6438608,A4.0
161,53.5013176,-2.6497449,A4.0
162,53.4962642,-2.6493234,A4.0
163,53.5003589,-2.6526364,A4.0
164,53.487005,-2.6459725,A4.0
165,53.497704,-2.6453963,A4.0
166,53.5000314,-2.6439638,A4.0
167,53.4963408,-2.6536664,A4.0
168,53.5005827,-2.643981,A4.0
169,53.4883601,-2.6509234,A4.0
170,53.4886691,-2.6510015,A4.0
171,53.4922335,-2.6534856,A4.0
172,53.4856715,-2.6446496,A4.0
173,53.4997038,-2.6433826,A4.0
174,53.5024534,-2.6554438,A4.0
175,53.4913578,-2.6531893,A4.0
176,53.499046,-2.6445217,A4.0
177,53.4914054,-2.6433221,A4.0
178,53.5024071,-2.6540662,A4.0
179,53.5014743,-2.6479899,A4.0
180,53.4980514,-2.652568,A4.0
181,53.4979788,-2.6522124,A4.0
182,53.4858658,-2.6445847,A4.0
183,53.4949367,-2.6532201,A4.0
184,53.4983187,-2.6458589,A4.0
185,53.4984282,-2.6453886,A4.0
186,53.5004099,-2.6528939,A4.0
187,53.4928891,-2.6524648,A4.0
188,53.491158,-2.6466626,A4.0
189,53.4902746,-2.6541213,A4.0
190,53.4906116,-2.6529368,A4.0
191,53.4903706,-2.6541043,A4.0
192,53.5015025,-2.6551513,A4.0
193,53.5019824,-2.649186,A4.0
194,53.5003742,-2.654765,A4.0
195,53.4864751,-2.6448823,A4.0
196,53.4866281,-2.6458858,A4.0
197,53.4971475,-2.6482591,A4.0
198,53.4928744,-2.6537025,A4.0
199,53.5014104,-2.6526777,A4.0
200,53.4966369,-2.6473235,A4.0
201,53.499605,-2.653532,A4.0
202,53.4872448,-2.6478974,A4.0
203,53.4917657,-2.6469716,A4.0
204,53.4921997,-2.6451005,A4.0
205,53.50186,-2.6598266,A4.0
206,53.4958371,-2.6500214,A4.0
207,53.4910406,-2.6477355,A4.0
208,53.4959233,-2.6492332,A4.0
209,53.4928482,-2.6527308,A4.0
210,53.5008904,-2.6638305,A4.0
211,53.4988836,-2.6462842,A4.0
212,53.4986361,-2.6472184,A4.0
213,53.4969943,-2.6521386,A4.0
214,53.4962233,-2.6463136,A4.0
215,53.4979695,-2.6465253,A4.0
216,53.4961927,-2.6526879,A4.0
217,53.4935255,-2.6493375,A4.0
218,53.5009517,-2.6656501,A4.0
219,53.5013082,-2.6498772,A4.0
220,53.5009817,-2.6496409,A4.0
